kdpsttbpst,kdjentbpst,nmpsttbpst,kdbiltbpst,kdgrutbpst,kdasntbpst,nomortbpst
22001,A,ILMU TEKNIK SIPIL,B,,A,104
22101,B,TEKNIK SIPIL,B,,A,105
22102,B,SISTEM DAN TEKNIK JALAN RAYA,B,,A,106
22201,C,TEKNIK SIPIL,B,,A,107
22301,D,PERANCANGAN JALAN DAN JEMBATAN,B,,A,108
22302,D,MANAJEMEN REKAYASA KONSTRUKSI,B,,A,
22303,D,TEKNIK PERUMAHAN DAN PEMUKIMAN,B,,A,
22304,D,TEKNIK BANGUNAN RAWA,B,,A,
22401,E,TEKNIK SIPIL,B,,A,109
22402,E,TEKNIK KONSTRUKSI SIPIL,B,,A,110
22403,E,TEKNIK KONSTRUKSI GEDUNG,B,,A,111
22404,E,TEKNIK SIPIL BANGUNAN AIR,B,,A,112
22405,E,TEKNIK SIPIL BANGUNAN TRANSPORTASI,B,,A,113
22406,E,TEKNIK JALAN RAYA,B,,A,114
22503,F,KONSTRUKSI GEDUNG,B,,A,
23001,A,ILMU ARSITEKTUR,B,,A,115
23101,B,ARSITEKTUR,B,,A,116
23201,C,ARSITEKTUR,B,,A,117
23401,E,ARSITEKTUR,B,,A,
23601,G,ARSITEKTUR,B,,A,
24001,A,ILMU TEKNIK KIMIA,B,,A,118
24101,B,TEKNIK KIMIA,B,,A,119
24201,C,TEKNIK KIMIA,B,,A,120
24301,D,TEKNOLOGI KIMIA INDUSTRI,B,,A,121
24401,E,TEKNIK KIMIA,B,,A,122
24402,E,ANALIS KIMIA,B,,A,123
24403,E,PETRO DAN OLEO KIMIA,B,,A,124
24404,E,TEKNIK INDUSTRI TEKSTIL,B,,A,125
24604,G,TEKNIK TEKSTIL,B,,A,
25001,A,ILMU TEKNIK LINGKUNGAN,B,,A,126
25101,B,TEKNIK LINGKUNGAN,B,,A,127
25102,B,ILMU LINGKUNGAN,B,,A,128
25103,B,TEKNIK AIR TANAH,B,,A,
25201,C,TEKNIK LINGKUNGAN,B,,A,129
25401,E,TEKNIK LINGKUNGAN,B,,A,
26001,A,TEKNIK INDUSTRI,B,,A,131
26101,B,TEKNIK INDUSTRI,B,,A,132
26201,C,TEKNIK INDUSTRI,B,,A,133
26302,D,TEKNIK MANAJEMEN PABRIK,B,,A,
26303,D,TEKNOLOGI MEKANIK INDUSTRI,B,,A,
26401,E,TEKNIK INDUSTRI,B,,A,134
26402,E,MANAJEMEN INDUSTRI,B,,A,135
27001,A,TEKNIK METALURGI,B,,A,
27101,B,TEKNIK METALURGI,B,,A,136
27201,C,TEKNIK METALURGI,B,,A,137
27401,E,METALURGI,B,,A,
28001,A,ILMU TEKNIK MATERIAL,B,,A,138
28101,B,TEKNIK MATERIAL,B,,A,139
28201,C,TEKNIK MATERIAL,B,,A,140
28401,E,MATERIAL,B,,A,
29001,A,ILMU TEKNIK GEODESI,B,,A,141
29101,B,TEKNIK GEODESI,B,,A,142
29201,C,TEKNIK GEODESI,B,,A,143
29401,E,TEKNIK GEODESI,B,,A,144
30001,A,ILMU FISIKA TEKNIK,B,,A,145
30101,B,FISIKA TEKNIK,B,,A,146
30201,C,FISIKA TEKNIK,B,,A,147
30401,E,FISIKA INSTRUMENTASI,B,,A,
31001,A,ILMU TEKNIK PERTAMBANGAN,B,,A,148
31101,B,TEKNIK PERTAMBANGAN,B,,A,149
31201,C,TEKNIK PERTAMBANGAN,B,,A,150
31401,E,TEKNIK PERTAMBANGAN,B,,A,151
32001,A,ILMU TEKNIK PERMINYAKAN,B,,A,152
32101,B,TEKNIK PERMINYAKAN,B,,A,153
32201,C,TEKNIK PERMINYAKAN,B,,A,154
32304,D,TEKNIK KESEHATAN DAN KESELAMATAN KERJA,B,,A,
32401,E,EKSPLORASI MINYAK DAN GAS,B,,A,155
32402,E,PENGOLAHAN MINYAK DAN GAS,B,,A,156
